model,split,parameters,epochs,train_seconds,mse,rmse,mae,relative_l2,circular_rmse_deg
persistence,train,0,0,0.000,0.10389828,0.32233256,0.095844144,0.49988899,34.520666
persistence,valid,0,0,0.000,0.072657939,0.26955137,0.070114342,0.43130834,32.592474
persistence,test,0,0,0.000,0.10071748,0.31736017,0.0994813,0.51144141,37.464582
linear_pointwise,train,7,1,0.157,0.51410457,0.71701086,0.64094912,1.1119752,122.19632
linear_pointwise,valid,7,1,0.157,0.59862664,0.77370966,0.66130853,1.2380105,110.99311
linear_pointwise,test,7,1,0.157,0.50843319,0.71304501,0.62294608,1.1491069,115.41856
tiny_cnn,train,3345,1,0.268,0.23193497,0.48159627,0.42041302,0.74688287,84.962081
tiny_cnn,valid,3345,1,0.268,0.19698181,0.44382633,0.3870381,0.71016519,79.598913
tiny_cnn,test,3345,1,0.268,0.20767278,0.45571129,0.39525676,0.734401,81.290029
